id,player,age,team,total_games,games_started,minutes_played,points_per_game
1,Álex Abrines,24,OKC,75,8,15.1,4.7
2,Quincy Acy,27,BRK,70,8,19.4,5.9
3,Steven Adams,24,OKC,76,76,32.7,13.9
4,Bam Adebayo,20,MIA,69,19,19.8,6.9
5,Arron Afflalo,32,ORL,53,3,12.9,3.4
6,Cole Aldrich,29,MIN,21,0,2.3,0.6
7,LaMarcus Aldridge,32,SAS,75,75,33.5,23.1
8,Jarrett Allen,19,BRK,72,31,20,8.2
9,Kadeem Allen,25,BOS,18,1,5.9,1.1
10,Tony Allen,36,NOP,22,0,12.4,4.7
11,Al-Farouq Aminu,27,POR,69,67,30,9.3
12,Justin Anderson,24,PHI,38,0,13.7,6.2
13,Kyle Anderson,24,SAS,74,67,26.7,7.9
14,Ryan Anderson,29,HOU,66,50,26.1,9.3
15,Ike Anigbogu,19,IND,11,0,2.7,1.2
16,Giannis Antetokounmpo,23,MIL,75,75,36.7,26.9
17,Carmelo Anthony,33,OKC,78,78,32.1,16.2
18,OG Anunoby,20,TOR,74,62,20,5.9
19,Ryan Arcidiacono,23,CHI,24,0,12.7,2
20,Trevor Ariza,32,HOU,67,67,33.9,11.7
21,Darrell Arthur,29,DEN,19,1,7.4,2.8
22,Jamel Artis,25,ORL,15,1,18.6,5.1
23,Ömer Aşık,31,TOT,18,0,10.1,1.2
24,Ömer Aşık,31,NOP,14,0,8.6,1.3
25,Ömer Aşık,31,CHI,4,0,15.3,1
26,D.J. Augustin,30,ORL,75,36,23.5,10.2
27,Luke Babbitt,28,TOT,50,14,14.3,5.2
28,Luke Babbitt,28,ATL,37,9,15.4,6.1
29,Luke Babbitt,28,MIA,13,5,11.2,2.5
30,Dwayne Bacon,22,CHO,53,6,13.5,3.3
31,Ron Baker,24,NYK,29,1,13.3,2.4
32,Wade Baldwin,21,POR,7,0,11.4,5.4
33,Lonzo Ball,20,LAL,52,50,34.2,10.2
34,J.J. Barea,33,DAL,69,10,23.2,11.6
35,Harrison Barnes,25,DAL,77,77,34.2,18.9
36,Will Barton,27,DEN,81,40,33.1,15.7
37,Nicolas Batum,29,CHO,64,64,31,11.6
38,Jerryd Bayless,29,PHI,39,11,23.7,7.9
39,Aron Baynes,31,BOS,81,67,18.3,6
40,Kent Bazemore,28,ATL,65,65,27.5,12.9
41,Bradley Beal,24,WAS,82,82,36.3,22.6
42,Malik Beasley,21,DEN,62,0,9.4,3.2
43,Michael Beasley,29,NYK,74,30,22.3,13.2
44,Marco Belinelli,31,TOT,80,2,24.3,12.1
45,Marco Belinelli,31,ATL,52,1,23.3,11.4
46,Marco Belinelli,31,PHI,28,1,26.3,13.6
47,Jordan Bell,23,GSW,57,13,14.2,4.6
48,DeAndre' Bembry,23,ATL,26,3,17.5,5.2
49,Dragan Bender,20,PHO,82,37,25.2,6.5
50,Dāvis Bertāns,25,SAS,77,10,14.1,5.9
51,Patrick Beverley,29,LAC,11,11,30.4,12.2
52,Khem Birch,25,ORL,42,0,13.8,4.2
53,Jabari Bird,23,BOS,13,1,8.8,3
54,Bismack Biyombo,25,ORL,82,25,18.2,5.7
55,Nemanja Bjelica,29,MIN,67,21,20.5,6.8
56,Tarik Black,26,HOU,51,2,10.5,3.5
57,Antonio Blakeney,21,CHI,19,0,16.5,7.9
58,Eric Bledsoe,28,TOT,74,74,31.4,17.7
59,Eric Bledsoe,28,PHO,3,3,27.7,15.7
60,Eric Bledsoe,28,MIL,71,71,31.5,17.8
61,Vander Blue,25,LAL,5,0,9,0.6
62,Bogdan Bogdanović,25,SAC,78,53,27.9,11.8
63,Bojan Bogdanović,28,IND,80,80,30.8,14.3
64,Andrew Bogut,33,LAL,24,5,9,1.5
65,Joel Bolomboy,24,MIL,6,0,6.3,1.5
66,Devin Booker,21,PHO,54,54,34.5,24.9
67,Trevor Booker,30,TOT,68,7,17,6.3
68,Trevor Booker,30,BRK,18,6,21.9,10.1
69,Trevor Booker,30,PHI,33,0,15,4.7
70,Trevor Booker,30,IND,17,1,15.8,5.4
71,Chris Boucher,25,GSW,1,0,1,0
72,Avery Bradley,27,TOT,46,46,31.2,14.3
73,Avery Bradley,27,DET,40,40,31.7,15
74,Avery Bradley,27,LAC,6,6,27.5,9.2
75,Tony Bradley,20,UTA,9,0,3.2,0.9
76,Corey Brewer,31,TOT,72,18,16.8,5.3
77,Corey Brewer,31,LAL,54,2,12.9,3.7
78,Corey Brewer,31,OKC,18,16,28.6,10.1
79,Malcolm Brogdon,25,MIL,48,20,29.9,13
80,Aaron Brooks,33,MIN,32,1,5.9,2.3
81,Dillon Brooks,22,MEM,82,74,28.7,11
82,MarShon Brooks,29,MEM,7,1,27.6,20.1
83,Anthony Brown,25,MIN,1,0,4,3
84,Bobby Brown,33,HOU,20,0,5.8,2.5
85,Jaylen Brown,21,BOS,70,70,30.7,14.5
86,Lorenzo Brown,27,TOR,14,0,9.9,2.3
87,Markel Brown,26,HOU,4,0,7.8,1.3
88,Sterling Brown,22,MIL,54,4,14.4,4
89,Nicolás Brussino,24,ATL,4,0,2.5,0
90,Thomas Bryant,20,LAL,15,0,4.8,1.5
91,Reggie Bullock,26,DET,62,52,27.9,11.3
92,Trey Burke,25,NYK,36,9,21.8,12.8
93,Alec Burks,26,UTA,64,1,16.5,7.7
94,Jimmy Butler,28,MIN,59,59,36.7,22.2
95,Dwight Buycks,28,DET,29,0,14.7,7.4
96,Bruno Caboclo,22,TOT,12,0,8.9,2.2
97,Bruno Caboclo,22,TOR,2,0,3.5,0
98,Bruno Caboclo,22,SAC,10,0,10,2.6
99,José Calderón,36,CLE,57,32,16,4.5
100,Kentavious Caldwell-Pope,24,LAL,74,74,33.2,13.4
101,Isaiah Canaan,26,TOT,20,1,21.1,8.6
102,Isaiah Canaan,26,HOU,1,0,4,0
103,Isaiah Canaan,26,PHO,19,1,22,9.1
104,Clint Capela,23,HOU,74,74,27.5,13.9
105,DeMarre Carroll,31,BRK,73,73,29.9,13.5
106,Vince Carter,41,SAC,58,5,17.7,5.4
107,Michael Carter-Williams,26,CHO,52,2,16.1,4.6
108,Alex Caruso,23,LAL,37,7,15.2,3.6
109,Omri Casspi,29,GSW,53,7,14,5.7
110,Willie Cauley-Stein,24,SAC,73,58,28,12.8
111,Tyler Cavanaugh,23,ATL,39,1,13.3,4.7
112,Mario Chalmers,31,MEM,66,10,21.5,7.7
113,Tyson Chandler,35,PHO,46,46,25,6.5
114,Wilson Chandler,30,DEN,74,71,31.7,10
115,Marquese Chriss,20,PHO,72,49,21.2,7.7
116,Ian Clark,26,NOP,74,2,19.7,7.4
117,Jordan Clarkson,25,TOT,81,2,23.3,13.9
118,Jordan Clarkson,25,LAL,53,2,23.7,14.5
119,Jordan Clarkson,25,CLE,28,0,22.6,12.6
120,Gian Clavell,24,DAL,7,0,9.1,2.9
121,Antonius Cleveland,23,TOT,17,0,7.2,1.4
122,Antonius Cleveland,23,DAL,13,0,6.2,0.8
123,Antonius Cleveland,23,ATL,4,0,10.5,3.3
124,John Collins,20,ATL,74,26,24.1,10.5
125,Zach Collins,20,POR,66,1,15.8,4.4
126,Kyle Collinsworth,26,DAL,32,2,15,3.2
127,Darren Collison,30,IND,69,64,29.2,12.4
128,Nick Collison,37,OKC,15,0,5,2.1
129,Mike Conley,30,MEM,12,12,31.1,17.1
130,Pat Connaughton,25,POR,82,5,18.1,5.4
131,Quinn Cook,24,GSW,33,18,22.4,9.5
132,Charles Cooke,23,NOP,13,0,2.9,0.5
133,Jack Cooley,26,SAC,7,0,12.4,5.7
134,Matt Costello,24,SAS,4,0,8,1
135,DeMarcus Cousins,27,NOP,48,48,36.2,25.2
136,Robert Covington,27,PHI,80,80,31.7,12.6
137,Allen Crabbe,25,BRK,75,68,29.3,13.2
138,Torrey Craig,27,DEN,39,5,16.1,4.2
139,Jamal Crawford,37,MIN,80,0,20.7,10.3
140,Jordan Crawford,29,NOP,5,0,10.6,6.6
141,Jae Crowder,27,TOT,80,47,26.1,9.7
142,Jae Crowder,27,CLE,53,47,25.4,8.6
143,Jae Crowder,27,UTA,27,0,27.6,11.8
144,Dante Cunningham,30,TOT,73,25,21.4,5.7
145,Dante Cunningham,30,NOP,51,24,21.9,5
146,Dante Cunningham,30,BRK,22,1,20.3,7.5
147,Stephen Curry,29,GSW,51,51,32,26.4
148,Troy Daniels,26,PHO,79,15,20.5,8.9
149,Anthony Davis,24,NOP,75,75,36.4,28.1
150,Deyonta Davis,21,MEM,62,6,15.2,5.8
151,Ed Davis,28,POR,78,0,18.9,5.3
152,Dewayne Dedmon,28,ATL,62,46,24.9,10
153,Sam Dekker,23,LAC,73,1,12.1,4.2
154,Malcolm Delaney,28,ATL,54,3,18.8,6.3
155,Matthew Dellavedova,27,MIL,38,3,18.7,4.3
156,Luol Deng,32,LAL,1,1,13,2
157,DeMar DeRozan,28,TOR,80,80,33.9,23
158,Cheick Diallo,21,NOP,52,0,11.2,4.9
159,Gorgui Dieng,28,MIN,79,0,16.9,5.9
160,Spencer Dinwiddie,24,BRK,80,58,28.8,12.6
161,Tyler Dorsey,21,ATL,56,5,17.4,7.2
162,Damyean Dotson,23,NYK,44,2,10.8,4.1
163,Milton Doyle,24,BRK,10,0,12.5,3.4
164,PJ Dozier,21,OKC,2,0,1.5,1
165,Goran Dragić,31,MIA,75,75,31.7,17.3
166,Larry Drew II,27,TOT,10,0,7,1.7
167,Larry Drew II,27,PHI,3,0,5,0.7
168,Larry Drew II,27,NOP,7,0,7.9,2.1
169,Andre Drummond,24,DET,78,78,33.7,15
170,Jared Dudley,32,PHO,48,0,14.3,3.2
171,Kris Dunn,23,CHI,52,43,29.3,13.4
172,Kevin Durant,29,GSW,68,68,34.2,26.4
173,Jarell Eddie,26,TOT,3,0,3,0
174,Jarell Eddie,26,BOS,2,0,3,0
175,Jarell Eddie,26,CHI,1,0,3,0
176,Henry Ellenson,21,DET,38,0,8.7,4
177,Wayne Ellington,30,MIA,77,2,26.5,11.2
178,Joel Embiid,23,PHI,63,63,30.3,22.9
179,James Ennis,27,TOT,72,22,22.3,7.1
180,James Ennis,27,MEM,45,14,23.4,6.9
181,James Ennis,27,DET,27,8,20.4,7.5
182,Tyler Ennis,23,LAL,54,11,12.6,4.1
183,Jawun Evans,21,LAC,48,4,16.2,4.8
184,Jeremy Evans,30,ATL,1,0,5,2
185,Tyreke Evans,28,MEM,52,32,30.9,19.4
186,Dante Exum,22,UTA,14,0,16.8,8.1
187,Kenneth Faried,28,DEN,32,7,14.4,5.9
188,Derrick Favors,26,UTA,77,77,28,12.3
189,Kay Felder,22,TOT,16,0,8.8,3.6
190,Kay Felder,22,CHI,14,0,9.6,3.9
191,Kay Felder,22,DET,2,0,3,1
192,Cristiano Felício,25,CHI,55,16,17.8,5.6
193,Raymond Felton,33,OKC,82,2,16.6,6.9
194,Terrance Ferguson,19,OKC,61,12,12.5,3.1
195,Yogi Ferrell,24,DAL,82,21,27.8,10.2
196,Dorian Finney-Smith,24,DAL,21,13,21.3,5.9
197,Bryn Forbes,24,SAS,80,12,19,6.9
198,Evan Fournier,25,ORL,57,57,32.2,17.8
199,De'Aaron Fox,20,SAC,73,60,27.8,11.6
200,Tim Frazier,27,WAS,59,11,14.2,3
201,Channing Frye,34,TOT,53,1,13.1,5
202,Channing Frye,34,CLE,44,1,12.4,4.8
203,Channing Frye,34,LAL,9,0,16.7,5.8
204,Markelle Fultz,19,PHI,14,0,18.1,7.1
205,Danilo Gallinari,29,LAC,21,21,32,15.3
206,Langston Galloway,26,DET,58,2,14.9,6.2
207,Marc Gasol,33,MEM,73,73,33,17.2
208,Pau Gasol,37,SAS,77,63,23.5,10.1
209,Rudy Gay,31,SAS,57,6,21.6,11.5
210,Paul George,27,OKC,79,79,36.6,21.9
211,Marcus Georges-Hunt,23,MIN,42,0,5.3,1.4
212,Jonathan Gibson,30,BOS,4,0,10,8.5
213,Taj Gibson,32,MIN,82,82,33.2,12.2
214,Manu Ginóbili,40,SAS,65,0,20,8.9
215,Rudy Gobert,25,UTA,56,56,32.4,13.5
216,Aaron Gordon,22,ORL,58,57,32.9,17.6
217,Eric Gordon,29,HOU,69,30,31.2,18
218,Marcin Gortat,33,WAS,82,82,25.3,8.4
219,Treveon Graham,24,CHO,63,2,16.7,4.3
220,Jerami Grant,23,OKC,81,1,20.3,8.4
221,Jerian Grant,25,CHI,74,26,22.8,8.4
222,Josh Gray,24,PHO,5,0,17.2,6.4
223,Danny Green,30,SAS,70,60,25.6,8.6
224,Draymond Green,27,GSW,70,70,32.7,11
225,Gerald Green,32,HOU,41,2,22.7,12.1
226,JaMychal Green,27,MEM,55,54,28,10.3
227,Jeff Green,31,CLE,78,13,23.4,10.8
228,Blake Griffin,28,TOT,58,58,34,21.4
229,Blake Griffin,28,LAC,33,33,34.5,22.6
230,Blake Griffin,28,DET,25,25,33.2,19.8
231,Daniel Hamilton,22,OKC,6,0,4.7,2
232,Tim Hardaway Jr.,25,NYK,57,54,33.1,17.5
233,James Harden,28,HOU,72,72,35.4,30.4
234,Maurice Harkless,24,POR,59,36,21.4,6.5
235,Montrezl Harrell,24,LAC,76,3,17,11
236,Devin Harris,34,TOT,71,1,18.9,8.4
237,Devin Harris,34,DAL,44,1,18.3,8.5
238,Devin Harris,34,DEN,27,0,19.7,8.2
239,Gary Harris,23,DEN,67,65,34.4,17.5
240,Joe Harris,26,BRK,78,14,25.3,10.8
241,Tobias Harris,25,TOT,80,80,33.4,18.6
242,Tobias Harris,25,DET,48,48,32.6,18.1
243,Tobias Harris,25,LAC,32,32,34.5,19.3
244,Aaron Harrison,23,DAL,9,3,25.9,6.7
245,Andrew Harrison,23,MEM,56,46,23.7,9.5
246,Shaquille Harrison,24,PHO,23,2,16.7,6.6
247,Josh Hart,22,LAL,63,23,23.2,7.9
248,Udonis Haslem,37,MIA,14,0,5.1,0.6
249,Nigel Hayes,23,TOT,9,0,13.6,3
250,Nigel Hayes,23,LAL,2,0,5.5,1.5
251,Nigel Hayes,23,TOR,2,0,3,3
252,Nigel Hayes,23,SAC,5,0,21,3.6
253,Gordon Hayward,27,BOS,1,1,5,2
254,Reggie Hearn,26,DET,3,0,2.3,1
255,Myke Henry,25,MEM,20,0,18.9,5.4
256,John Henson,27,MIL,76,69,25.9,8.8
257,Juan Hernangómez,22,DEN,25,3,11.1,3.3
258,Willy Hernangómez,23,TOT,48,1,10.3,5.1
259,Willy Hernangómez,23,NYK,26,0,9,4.3
260,Willy Hernangómez,23,CHO,22,1,11.9,6.1
261,Mario Hezonja,22,ORL,75,30,22.1,9.6
262,Isaiah Hicks,23,NYK,18,0,13.3,4.4
263,Buddy Hield,25,SAC,80,12,25.3,13.5
264,Nenê,35,HOU,52,4,14.6,6.5
265,George Hill,31,TOT,67,60,27,10
266,George Hill,31,SAC,43,36,26.6,10.3
267,George Hill,31,CLE,24,24,27.9,9.4
268,Solomon Hill,26,NOP,12,1,15.6,2.4
269,Darrun Hilliard,24,SAS,14,0,6.8,1.1
270,Jrue Holiday,27,NOP,81,81,36.1,19
271,Justin Holiday,28,CHI,72,72,31.5,12.2
272,John Holland,29,CLE,24,0,7.3,2.3
273,Rondae Hollis-Jefferson,23,BRK,68,59,28.2,13.9
274,Richaun Holmes,24,PHI,48,2,15.5,6.5
275,Rodney Hood,25,TOT,60,23,26.9,14.7
276,Rodney Hood,25,UTA,39,12,27.8,16.8
277,Rodney Hood,25,CLE,21,11,25.3,10.8
278,Scotty Hopson,28,DAL,1,0,8,1
279,Al Horford,31,BOS,72,72,31.6,12.9
280,Danuel House,24,PHO,23,3,17.5,6.6
281,Dwight Howard,32,CHO,81,81,30.4,16.6
282,Josh Huestis,26,OKC,69,10,14.2,2.3
283,R.J. Hunter,24,HOU,5,1,9,3.8
284,Vince Hunter,23,MEM,4,0,1.8,1.5
285,Serge Ibaka,28,TOR,76,76,27.5,12.6
286,Andre Iguodala,34,GSW,64,7,25.3,6
287,Ersan İlyasova,30,TOT,69,43,25.1,10.9
288,Ersan İlyasova,30,ATL,46,40,25.5,10.9
289,Ersan İlyasova,30,PHI,23,3,24.1,10.8
290,Joe Ingles,30,UTA,82,81,31.4,11.5
291,Andre Ingram,32,LAL,2,0,32,12
292,Brandon Ingram,20,LAL,59,59,33.5,16.1
293,Kyrie Irving,25,BOS,60,60,32.2,24.4
294,Jonathan Isaac,20,ORL,27,10,19.9,5.4
295,Wesley Iwundu,23,ORL,62,12,16.5,3.7
296,Jarrett Jack,34,NYK,62,56,25,7.5
297,Aaron Jackson,31,HOU,1,0,35,8
298,Demetrius Jackson,23,TOT,15,0,5.3,1.1
299,Demetrius Jackson,23,HOU,12,0,5.3,0.7
300,Demetrius Jackson,23,PHI,3,0,5.7,2.7
301,Josh Jackson,20,PHO,77,35,25.4,13.1
302,Justin Jackson,22,SAC,68,41,22.1,6.7
303,Reggie Jackson,27,DET,45,45,26.7,14.6
304,LeBron James,33,CLE,82,82,36.9,27.5
305,Mike James,27,TOT,36,10,19.1,9.3
306,Mike James,27,PHO,32,10,20.9,10.4
307,Mike James,27,NOP,4,0,4.5,1
308,Al Jefferson,33,IND,36,1,13.4,7
309,Richard Jefferson,37,DEN,20,0,8.2,1.5
310,Brandon Jennings,28,MIL,14,0,14.6,5.2
311,Jonas Jerebko,30,UTA,74,19,15.3,5.8
312,Amir Johnson,30,PHI,74,18,15.8,4.6
313,Brice Johnson,23,TOT,18,0,5.4,2.4
314,Brice Johnson,23,LAC,9,0,4.2,1.8
315,Brice Johnson,23,MEM,9,0,6.7,3
316,Dakari Johnson,22,OKC,31,6,5.2,1.8
317,James Johnson,30,MIA,73,41,26.6,10.8
318,Joe Johnson,36,TOT,55,4,21.9,6.8
319,Joe Johnson,36,UTA,32,3,21.9,7.3
320,Joe Johnson,36,HOU,23,1,22,6
321,Omari Johnson,28,MEM,4,0,18.8,5.5
322,Stanley Johnson,21,DET,69,50,27.4,8.7
323,Tyler Johnson,25,MIA,72,39,28.5,11.7
324,Wesley Johnson,30,LAC,74,40,20.1,5.4
325,Nikola Jokić,22,DEN,75,73,32.6,18.5
326,Damian Jones,22,GSW,15,0,5.9,1.7
327,Derrick Jones Jr.,20,TOT,20,8,12.3,3.1
328,Derrick Jones Jr.,20,PHO,6,0,5.5,1.5
329,Derrick Jones Jr.,20,MIA,14,8,15.1,3.7
330,Jalen Jones,24,TOT,16,0,11.3,4.6
