id,Team,W,L,GB,PSG,PAG,SRS
1,ATL,24,58,35,103.4,108.8,-5
2,BOS,55,27,4,104,100.4,3.23
3,BKN,28,54,31,106.6,110.3,-3.67
4,CHA,36,46,23,108.2,108,0.07
5,CHI,27,55,32,102.9,110,-6.84
6,CLE,50,32,9,110.9,109.9,0.59
7,DAL,24,58,41,102.3,105.4,-2.7
8,DEN,46,36,19,110,108.5,1.57
9,DET,39,43,20,103.8,103.9,-0.26
10,GSW,58,24,7,113.5,107.5,5.79
11,HOU,65,17,,112.4,103.9,8.21
12,IND,48,34,11,105.6,104.2,1.18
13,Lac,42,40,23,109,109,0.15
14,LAL,35,47,30,108.1,109.6,-1.44
15,MEM,22,60,43,99.3,105.5,-5.81
16,MIA,44,38,15,103.4,102.9,0.15
17,MIL,44,38,15,106.5,106.8,-0.45
18,NJN,47,35,18,109.5,107.3,2.35
19,NOP,48,34,17,111.7,110.4,1.48
20,NYK,29,53,30,104.5,108,-3.53
21,OKC,48,34,17,107.9,104.4,3.42
22,ORL,25,57,34,103.4,108.2,-4.92
23,PHI,52,30,7,109.8,105.3,4.3
24,PHX,21,61,44,103,,
25,POR,49,33,16,105.6,103,2.6
26,SAC,27,55,38,98.8,105.8,-6.6
27,SAS,47,35,18,102.7,99.8,2.89
28,TOR,59,23,,111.7,103.9,7.29
29,UTA,48,34,17,104.1,99.8,4.47
30,WAS,43,39,16,106.6,106,0.53
